task,indicator,model,count_white,count_yellow,count_black,p_white,p_yellow,p_black,delta_w,delta_y,delta_b,c1,c2,helmert_r
occupation,职业维度4,Seedance 1.5,0.0,5.0,1.0,0.0,0.83,0.17,-0.33,0.5,-0.17,-0.12,0.61,0.62
occupation,职业维度4,Genie 3,1.0,3.0,2.0,0.17,0.5,0.33,-0.17,0.17,0.0,-0.12,0.2,0.24
occupation,职业维度5,Sora,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
occupation,职业维度5,Sora2,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度5,Wan,17.0,1.0,0.0,0.94,0.06,0.0,0.61,-0.28,-0.33,0.67,-0.34,0.75
occupation,职业维度5,Wan 2.6,1.0,13.0,4.0,0.06,0.72,0.22,-0.28,0.39,-0.11,-0.12,0.48,0.49
occupation,职业维度5,Seedance 1.5,4.0,1.0,1.0,0.67,0.17,0.17,0.33,-0.17,-0.17,0.35,-0.2,0.41
occupation,职业维度5,Genie 3,2.0,2.0,2.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
occupation,职业维度6,Sora,4.0,0.0,2.0,0.67,0.0,0.33,0.33,-0.33,0.0,0.24,-0.41,0.47
occupation,职业维度6,Sora2,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
occupation,职业维度6,Wan,20.0,0.0,0.0,1.0,0.0,0.0,0.67,-0.33,-0.33,0.71,-0.41,0.82
occupation,职业维度6,Wan 2.6,11.0,7.0,0.0,0.61,0.39,0.0,0.28,0.06,-0.33,0.43,0.07,0.44
occupation,职业维度6,Seedance 1.5,4.0,0.0,2.0,0.67,0.0,0.33,0.33,-0.33,0.0,0.24,-0.41,0.47
occupation,职业维度6,Genie 3,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
occupation,职业维度7,Sora,0.0,4.0,2.0,0.0,0.67,0.33,-0.33,0.33,0.0,-0.24,0.41,0.47
occupation,职业维度7,Sora2,0.0,1.0,5.0,0.0,0.17,0.83,-0.33,-0.17,0.5,-0.59,-0.2,0.62
occupation,职业维度7,Wan,15.0,1.0,2.0,0.83,0.06,0.11,0.5,-0.28,-0.22,0.51,-0.34,0.61
occupation,职业维度7,Wan 2.6,2.0,12.0,2.0,0.12,0.75,0.12,-0.21,0.42,-0.21,0.0,0.51,0.51
occupation,职业维度7,Seedance 1.5,2.0,1.0,3.0,0.33,0.17,0.5,0.0,-0.17,0.17,-0.12,-0.2,0.24
occupation,职业维度7,Genie 3,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度8,Sora,0.0,1.0,5.0,0.0,0.17,0.83,-0.33,-0.17,0.5,-0.59,-0.2,0.62
occupation,职业维度8,Sora2,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
occupation,职业维度8,Wan,15.0,1.0,2.0,0.83,0.06,0.11,0.5,-0.28,-0.22,0.51,-0.34,0.61
occupation,职业维度8,Wan 2.6,5.0,13.0,0.0,0.28,0.72,0.0,-0.06,0.39,-0.33,0.2,0.48,0.52
occupation,职业维度8,Seedance 1.5,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
occupation,职业维度8,Genie 3,2.0,1.0,3.0,0.33,0.17,0.5,0.0,-0.17,0.17,-0.12,-0.2,0.24
occupation,职业维度9,Sora,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度9,Sora2,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度9,Wan,15.0,0.0,3.0,0.83,0.0,0.17,0.5,-0.33,-0.17,0.47,-0.41,0.62
occupation,职业维度9,Wan 2.6,6.0,10.0,2.0,0.33,0.56,0.11,0.0,0.22,-0.22,0.16,0.27,0.31
occupation,职业维度9,Seedance 1.5,4.0,1.0,1.0,0.67,0.17,0.17,0.33,-0.17,-0.17,0.35,-0.2,0.41
occupation,职业维度9,Genie 3,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
